window,saved,now,rel,verdict
base_fc,1358.1168940484897,1358.11689404849,1.6741833964338712e-16,reproduces
crisis_fc,838.1609322934036,838.1609322934025,1.2207459213052095e-15,reproduces
base_covid,5279.707396982394,5279.70739698239,8.613116536465146e-16,reproduces
crisis_covid,4925.863381244736,4925.863381244738,3.692732142088376e-16,reproduces
