   5.42108333E-001    7.23895669E-001    8.86209369E-001    2.05129106E-001
   9.09725000E-001    7.73576200E-001    8.86209369E-001   -1.53630513E-001
   9.38175000E-001    8.12438726E-001    8.86209369E-001   -1.41881002E-001
   9.40341667E-001    8.37514579E-001    8.86209369E-001   -1.16030242E-001
   9.41816667E-001    8.46162260E-001    8.86209369E-001   -1.07936578E-001
   9.43983333E-001    8.62711191E-001    8.86209369E-001   -9.17076089E-002
   9.43091667E-001    8.97005975E-001    8.86209369E-001   -5.20031643E-002
   9.41708333E-001    9.03762817E-001    8.86209369E-001   -4.28177779E-002
   9.39991667E-001    9.12964940E-001    8.86209369E-001   -3.04969994E-002
   9.41808333E-001    9.05738950E-001    8.86209369E-001   -4.07007473E-002
   9.40183333E-001    9.15844619E-001    8.86209369E-001   -2.74638420E-002
   9.39558333E-001    9.22217488E-001    8.86209369E-001   -1.95674359E-002
   9.38641667E-001    9.09327865E-001    8.86209369E-001   -3.30777388E-002
   9.40500000E-001    9.07452703E-001    8.86209369E-001   -3.72906208E-002
   9.42675000E-001    9.22098994E-001    8.86209369E-001   -2.32179962E-002
   9.42225000E-001    9.25949275E-001    8.86209369E-001   -1.83655523E-002
   9.39683333E-001    9.30256069E-001    8.86209369E-001   -1.06377397E-002
   9.41275000E-001    9.31561053E-001    8.86209369E-001   -1.09612328E-002
   9.41916667E-001    9.42718148E-001    8.86209369E-001    9.04393017E-004
   9.39750000E-001    9.40989792E-001    8.86209369E-001    1.39898357E-003
   1.68962819E-001    1.57303126E-001    1.90901607E-001   -6.10769771E-002
   1.81759439E-001    1.93332939E-001    1.90901607E-001    6.06254732E-002
   1.67677585E-001    1.91508377E-001    1.90901607E-001    1.24832853E-001
   1.72510127E-001    1.97208113E-001    1.90901607E-001    1.29375474E-001
   1.66427958E-001    2.03174844E-001    1.90901607E-001    1.92491239E-001
   1.73757810E-001    2.09963442E-001    1.90901607E-001    1.89655981E-001
   1.75867623E-001    2.22507486E-001    1.90901607E-001    2.44313618E-001
   1.73409578E-001    2.23964575E-001    1.90901607E-001    2.64822271E-001
   1.70670740E-001    2.12627147E-001    1.90901607E-001    2.19780270E-001
   1.70270657E-001    2.00782002E-001    1.90901607E-001    1.59827596E-001
   1.62301477E-001    2.25042093E-001    1.90901607E-001    3.28654208E-001
   1.70825865E-001    2.39427694E-001    1.90901607E-001    3.59357000E-001
