block,param,width_dq1,abs_width,step_seed_sigma033,below_retired_scalar_floor
common,a_ℓ,0.006787109375,0.006787109375,0.0022397460937500003,true
common,b_ℓ,-0.018994140625000003,0.018994140625000003,0.006268066406250002,false
common,ρ_x,-0.021484375,0.021484375,0.007089843750000001,false
common,c,-0.004980468750000001,0.004980468750000001,0.0016435546875000005,true
common,A,0.005126953125000001,0.005126953125000001,0.0016918945312500004,true
unsk,bU,-0.007421875,0.007421875,0.00244921875,true
skl,bS,0.199951171875,0.199951171875,0.06598388671875001,false
skl,PS,0.04287109375,0.04287109375,0.0141474609375,false
unsk,α_U,-0.007080078125,0.007080078125,0.00233642578125,true
skl,a_Γ,0.0380859375,0.0380859375,0.012568359375000001,false
skl,b_Γ,-0.038525390625,0.038525390625,0.012713378906250001,false
skl,δ,0.199951171875,0.199951171875,0.06598388671875001,false
unsk,μ,0.004345703125,0.004345703125,0.0014340820312500001,true
skl,μ,0.07412109375,0.07412109375,0.024459960937500004,false
unsk,β,-0.00791015625,0.00791015625,0.0026103515625,true
skl,β,-0.05126953125000001,0.05126953125000001,0.016918945312500003,false
unsk,λ,-0.006396484375000001,0.006396484375000001,0.00211083984375,true
skl,λ,0.002197265625,0.002197265625,0.00072509765625,true
unsk,k,-0.006152343750000001,0.006152343750000001,0.0020302734375,true
skl,k,-0.069775390625,0.069775390625,0.023025878906250002,false
skl,σ,0.14658203125000002,0.14658203125000002,0.04837207031250001,false
unsk,ξ,0.02744140625,0.02744140625,0.009055664062500001,false
skl,ξ,-0.199951171875,0.199951171875,0.06598388671875001,false
