t,frontier_floor,d_region,d_mass,d_flow,theta_U,theta_S,f_U,f_S,skilled_share,training_share,ur_U,ur_S,dist_to_z0,dist_to_z1
0.0,0.27111884813962506,0.46405085332621865,0.0,0.0,0.19019279240567616,0.6845292438760004,0.1970096990625905,0.2046598945973059,0.30285190504487086,0.045166091675548484,0.05917284940166162,0.025946904911165025,0.011147881832083713,0.034883494732974536
0.5,0.27112127148023785,0.4641132874775544,0.0,0.0,0.19593134246634203,0.6797317163934486,0.1999597279896596,0.20394145350926657,0.30297750552413755,0.04544718094151939,0.06406105947322474,0.027675914905640208,0.013386096979417911,0.03222080861729694
1.0,0.2711234965018638,0.4641652844005914,0.0,0.0,0.20045588096875971,0.6756512103357656,0.20225533276868837,0.2033283902938287,0.3031034853422918,0.045719113100251445,0.06840551228178335,0.029240455175717713,0.015404418010245452,0.029828354329003267
1.5,0.2711255492167882,0.4642091992863614,0.0,0.0,0.20410034463098897,0.6721477957106171,0.20408564072712945,0.20280055176881284,0.30322973170514755,0.045981895534307475,0.07225974593202927,0.03065728488487121,0.017225646708170717,0.02772637993553969
2.0,0.2711274516232955,0.4642466945070647,0.0,0.0,0.20708697885042965,0.6721062692608798,0.2055734272645091,0.2027942869881704,0.30335615458774917,0.046235606808798624,0.07567446219483057,0.03194129902359259,0.01976754175127294,0.025851298698106616
2.5,0.27112922249986665,0.46428086713564193,0.0,0.0,0.20956913318778378,0.6693606432195149,0.2068017639210787,0.20237964490740032,0.3034826798382534,0.046480372125474415,0.07869666383387597,0.033098585036662666,0.022484400577133593,0.024181711065837202
3.0,0.2711308543672684,0.4643107492834196,0.0,0.0,0.21165595177798213,0.666937468509797,0.2078288444556293,0.20201299213440652,0.303609244850971,0.04671634784968561,0.08136934486969477,0.03414895090817429,0.024924074747986497,0.022677461081295106
3.5,0.2711323608509095,0.4643370454510359,0.0,0.0,0.21342722506961637,0.6647796404665136,0.2086966554347058,0.201685928144193,0.3037357957066672,0.046943711275541276,0.08373147961864066,0.03510297645214324,0.02710779954593818,0.02131816095664138
4.0,0.2711337538551173,0.4643603013294737,0.0,0.0,0.21494266324293468,0.6628490916803969,0.209436269253834,0.2013928628981376,0.3038622851394281,0.04716265340253835,0.08581817508835894,0.0359701500535117,0.029081430494349348,0.020088441054191095
4.5,0.27113504390175297,0.4643809541102155,0.0,0.0,0.21624784999481328,0.6611115029694539,0.21007118213484738,0.20112872464869322,0.3039886711091457,0.04737337390606669,0.08766090762141569,0.0367589687780943,0.031156740998862054,0.018974566314524714
5.0,0.2711362403415495,0.4643993574433235,0.0,0.0,0.21737822460906564,0.6595364528142763,0.2106195104239428,0.20088899448695807,0.30411491578569705,0.04757607760340471,0.08928780021206939,0.037477057846151234,0.03303850759121303,0.017964219657295694
5.5,0.27113735155096236,0.4644157994191823,0.0,0.0,0.21836179225275282,0.6581018474962812,0.2110954659454806,0.20067039147534982,0.3042409848008648,0.04777097190263453,0.09072391171350758,0.03813127162331264,0.03474659476343981,0.017046369517967105
6.0,0.271138385111821,0.4644305187920369,0.0,0.0,0.219221002662777,0.6567877527118668,0.21151036763466619,0.20046994249764344,0.30436684667937774,0.04795826491651976,0.09199152221727945,0.03872776647131061,0.036298794979596836,0.01621115465906118
6.5,0.27113934793628786,0.46444371427942965,0.0,0.0,0.2199740805832549,0.6575090036951112,0.2118733511664037,0.2005799852543834,0.30449247240040483,0.04813816406163303,0.0931104064280715,0.03927207938000327,0.03771766242423909,0.015449765874008063
7.0,0.2711402463830447,0.4644567980283005,0.0,0.0,0.22063599481964094,0.6563950050538339,0.2121918810734741,0.20040999476413043,0.30461783505405504,0.04831087501186328,0.09409809026024288,0.03976340666961212,0.03900457169048659,0.014960700000711591
7.5,0.27114107081860683,0.46446871711248483,0.0,0.0,0.22121916579726766,0.6553672244822927,0.21247212203451432,0.20025303272889294,0.30474290956815986,0.048476600914432205,0.09497008790978968,0.04021252810549321,0.04018228871982502,0.014550498527766036
8.0,0.27114182589293123,0.4644795976533954,0.0,0.0,0.2217339930438053,0.6544137380013999,0.21271921380283912,0.20010730675153887,0.3048676726009991,0.04863554215604383,0.0957401184296355,0.04062340891431586,0.04126933157292769,0.01418426732603996
8.5,0.2711425158502789,0.4644895471632598,0.0,0.0,0.22218925864766362,0.6535282067784806,0.21293748002562404,0.19997187159477253,0.30499210261330173,0.04878789669832077,0.09642030202440763,0.04099962538676242,0.04226627599361087,0.013855891322788721
9.0,0.2711431445979251,0.46449865970806514,0.0,0.0,0.22259242783404154,0.652702402333767,0.21313058324335468,0.19984548847998754,0.3051161789711355,0.04893385737986726,0.09702134148519338,0.04134439365358758,0.0431820241274413,0.01356870192189334
9.5,0.27114371573849944,0.46450701660587196,0.0,0.0,0.22294989038747612,0.6519305923374782,0.21330164845164662,0.19972729650648227,0.30523988221660675,0.04907361296433087,0.0975526805516816,0.04166061433548144,0.04402453385082434,0.013315975127556634
10.0,0.2711442326157126,0.46451468914346156,0.0,0.0,0.22326714581898532,0.6512074651374558,0.21345335754128172,0.19961649612766286,0.30536319396334316,0.04920734797891908,0.09802264741019877,0.04195090044642279,0.04480091416261694,0.013088734038762203
10.5,0.2711446983440737,0.46452173984727135,0.0,0.0,0.22354895217021703,0.6505294817638627,0.21358802478613678,0.19951255697124792,0.30548609680755656,0.04933524260817766,0.09843858297767055,0.04221760786359467,0.04551751810264381,0.012946700578731117
11.0,0.2711451158371459,0.4645282244353337,0.0,0.0,0.22379944558684686,0.6498921652125307,0.21370765722946952,0.1994148028985279,0.30560857425178994,0.04945747263173403,0.0988069551981387,0.04246285789514815,0.04618365230901612,0.01308918387165011
11.5,0.27114548782325837,0.4645341919579468,0.0,0.0,0.22402223304556568,0.6492921137317917,0.2138140014221652,0.1993227208674413,0.3057306106388861,0.049574209396522545,0.09913346063657195,0.04268856552809389,0.04680430108941272,0.0132262089097532
