moment,as_solved,snapped
ur_U,0.06356754008809706,0.06356754008809706
ur_S,0.02602575638177746,0.02602575638177746
skilled_share,0.30190154590399326,0.30190154590399326
training_share,0.04204238908590427,0.04204238908590427
emp_var_U,0.29341340913950015,0.29341403505234676
emp_cm3_U,-0.03910451719491889,-0.039106001260267295
emp_var_S,0.23746112934132935,0.24091586237730556
emp_cm3_S,-0.05730573564205895,-0.06025316696344963
jfr_U,0.30204105507396783,0.30204105507396783
sep_rate_U,0.015279214684829453,0.015279214684829453
jfr_S,0.2672145230340825,0.2672145230340825
sep_rate_S,0.006213578659894158,0.006213578659894158
ee_rate_S,0.006894664238205381,0.007470236528147183
mean_wage_U,6.528419620472095,6.528419732026977
mean_wage_S,6.915423065646178,6.912883272391828
p25_wage_U,6.162543854027852,6.162544294349827
p25_wage_S,6.617742659140154,6.615153986862255
p50_wage_U,6.556582518312366,6.556582886408904
p50_wage_S,6.948859671242262,6.948171353666565
p75_wage_U,6.921633688778341,6.921633932965943
p75_wage_S,7.254642153137437,7.254499554347522
theta_U,0.4586954417188035,0.4586954417188035
theta_S,1.2130499749837829,1.2130499749837829
overlap_UgtS,0.2332378480550069,0.23365617707754027
overlap_SltU,0.21349466058385447,0.21528885988201504
wchg_rate_U,0.15063578386013854,0.15063578386013854
wchg_rate_S,0.12777594084991237,0.12777594084991237
usurv5_S,0.7319436585843507,0.7319436585843507
usurv14_S,0.4173855667138987,0.4173855667138987
usurv27_S,0.18542971186795648,0.18542971186795648
usurv53_S,0.03659848570614697,0.03659848570614697
