moment,below,above,rel_step
ur_U,0.06356753960780581,0.06356753967250942,1.0178717626217439e-9
ur_S,0.026025755236238082,0.026025753748770773,-5.7153665495781314e-8
skilled_share,0.3019015456435603,0.30190154413337844,-5.002232980383895e-9
training_share,0.04204238905116152,0.04204238884969745,-4.7919272000809735e-9
emp_var_U,0.29341340930951393,0.29341340997702026,2.274968719255609e-9
emp_cm3_U,-0.03910451721926474,-0.039104517335229114,-2.965498240003284e-9
emp_var_S,0.23746099303478851,0.2374606929676846,-1.2636479788932393e-6
emp_cm3_S,-0.05730559555048656,-0.05730530197214214,5.123031033867439e-6
jfr_U,0.3020410562116201,0.3020410556198724,-1.959163147596843e-9
sep_rate_U,0.015279214588508413,0.015279214550036653,-2.5179147970388108e-9
jfr_S,0.267214531331792,0.2672145388757159,2.823171268746837e-8
sep_rate_S,0.0062135791560663485,0.006213580313801728,1.8632342981519278e-7
ee_rate_S,0.006894644487285146,0.006897336632864458,0.0003904690929716105
mean_wage_U,6.5284196200028495,6.5284196182405925,-2.6993623412135105e-10
mean_wage_S,6.9154230717518015,6.915423077138943,7.790038792627224e-10
p25_wage_U,6.162543853454592,6.162543851245173,-3.5852376527150605e-10
p25_wage_S,6.617742649682915,6.617742641349452,-1.2592607688189558e-9
p50_wage_U,6.556582517850822,6.556582516144818,-2.6019717164102945e-10
p50_wage_S,6.948859584307495,6.948859390491805,-2.789172644177842e-8
p75_wage_U,6.921633688416218,6.921633687123684,-1.8673829589243053e-10
p75_wage_S,7.254642066773133,7.254641861095788,-2.835113620827311e-8
theta_U,0.4586954451742007,0.4586954433768822,-3.9183264956041e-9
theta_S,1.2130500503205304,1.2130501188134921,5.6463425996821096e-8
overlap_UgtS,0.23323790063874017,0.2332380175833847,5.013964034295364e-7
overlap_SltU,0.2134946489504457,0.2134946157539127,-1.5549117112730205e-7
wchg_rate_U,0.15063578395645957,0.1506357839949313,2.553956622696445e-10
wchg_rate_S,0.12777596919908293,0.12777603534716334,5.176879566375987e-7
usurv5_S,0.7319436515765171,0.7319436452052933,-8.704527673765404e-9
usurv14_S,0.4173855555246331,0.4173855453518297,-2.4372677115440475e-8
usurv27_S,0.1854297022810342,0.1854296935650134,-4.7004447975586465e-8
usurv53_S,0.0365984819918631,0.036598478614994795,-9.226798823421945e-8
