param,colnorm_h1e6,colnorm_mean,spread,spread_pair,spread_nrm,feasible
a_ℓ,595.6370319571004,639.8850486685225,0.790562235044497,1.1859125808697735,0.2765663770172686,true
b_ℓ,293.34682599819797,291.1894218369189,0.01093452710486701,0.017833548023675688,0.006471500883992613,true
ρ_x,21.488239046293327,21.4844814206898,0.00022217502153130028,0.00043978923066466277,0.00017333780100706634,true
c,2038.0376578921137,2041.674131010796,0.013066071721639398,0.022948733571741837,0.006924067632768601,true
A,4392.87993558209,4391.538772017571,0.0018906268834690209,0.0030615461078636872,0.00026528847996224743,true
b_U,14.310371693675597,14.307647015684443,0.00019372166313771282,0.0003520243557398069,0.00017565039228616076,true
b_S,4.626802408658907e-11,4.966811648132727e-11,0.9891985607107466,1.5841082114085598,0.3684920155293529,true
P_S,109.32814196992975,109.1716363478038,0.006899174503346024,0.01085011471212832,0.0021340773022035845,true
α_U,212.61134563630273,212.6075871999558,0.0001240610295089984,0.0001870341510956849,3.1090341990468505e-5,true
a_Γ,65.1408741305202,65.1969032209557,0.004352949059626561,0.006906294840927219,0.00126764019607417,true
b_Γ,53.6326333541464,53.578498403732716,0.004772669718010403,0.0075771346496378116,0.0014731786553279602,true
δ_S,15.982259908752315,15.790394176951093,0.033373816935267586,0.053532345931158805,0.010358691140176887,true
μ_U,139.90189520424542,139.9008699413933,0.0001266587222698904,0.00023035406192367287,6.708086174976765e-6,true
μ_S,547.8002355923682,232.5833938108077,1.3844379925601038,2.495730918555149,0.9211566852651044,true
β_U,50.83807730074285,50.837170564726044,4.607819327528291e-5,6.997433881966004e-5,3.211371956143987e-5,true
β_S,54.078404912868756,68.90107819806606,1.7451283922491678,2.617743298524298,0.7339948015343262,true
λ_U,39.38030199516761,39.38007040049639,9.5867939857061e-5,0.00019027373891318126,5.595259293856582e-6,true
λ_S,246.82038998076564,105.09705220717686,1.3628433440544898,2.4560185412108524,0.9831297711610227,true
k_U,343.85003626065316,343.8627195559677,6.630157690518736e-5,0.00013207703009342355,3.684358955239098e-5,true
k_S,428.00873863802116,619.3112540151857,2.0567901531152066,3.085541655441596,0.8921308982598587,true
σ_S,1.5460592089467835,1.5239068090976304,0.09778783512269532,0.17023954110582096,0.010365560096040368,true
ξ_U,0.17767803569847637,0.17767815120570118,1.3464993625475222e-5,2.064651849902096e-5,1.064269659681461e-6,true
ξ_S,0.179589690959593,0.17935199500965116,0.02102078776853356,0.033096295715201035,0.0017728307451904011,true
