param,colnorm_before,spread_before,colnorm_after,spread_after,fails_before,fails_after
a_ℓ,599.2354766223066,171.02342808428827,599.2341723151466,171.02380039664868,True,True
b_ℓ,298.0575415508663,0.0288997962860839,298.0501278137423,0.0288671429209991,False,False
ρ_x,21.49328077164607,0.0008817671112456,21.493237050346337,0.0008809301753984,False,False
c,2070.758862375302,0.0341419290048118,2070.741020683258,0.0341415364499009,False,False
A,4359.153059526797,0.001177809617983,4359.152268335069,0.0011772317389182,False,False
b_U,14.316978777512158,0.0007013357981875,14.316997929033048,0.0007055395489176,False,False
b_S,8.902535898534063e-11,1.6024087576703907,1.03004033918061e-10,0.5585042149828955,True,True
P_S,111.62959930541228,0.0176979166161278,111.62968964113128,0.0176794201437238,False,False
α_U,212.6114721454618,0.0003647916386622,212.6115042107132,0.0003662792296222,False,False
a_Γ,62.54496277909173,0.0004419633358152,62.544938183219415,0.0004409028364832,False,False
b_Γ,54.9798628524494,0.000383806061361,54.97978060559825,0.0003795130436136,False,False
δ_S,14.870358120646925,0.0253067881581814,14.870253829583776,0.0252950253893366,False,False
μ_U,139.90287893948235,0.0004565731451723,139.90288505228287,0.0004500876290694,False,False
μ_S,147.02913532912908,0.0361813070490825,147.02915358437107,0.0361466600196001,False,False
β_U,50.838127361267304,1.599637483096858e-06,50.83816092999256,1.073666355751823e-06,False,False
β_S,63.41611266545225,0.0803599329041786,63.41602197518599,0.080260550723788,True,True
λ_U,39.37959752203209,1.0553789447599066e-05,39.37959586163843,8.468201278234081e-06,False,False
λ_S,34798.710315669836,1.0013133553705982,34798.71034333006,1.0013133547247224,True,True
k_U,343.8736058580724,3.705565710966258e-06,343.87382655861154,4.374627399874915e-06,False,False
k_S,680.3187205757004,378.47836511205446,680.319426875478,378.477975322239,True,True
σ_S,1.2398438367546945,0.0139508601347593,1.2398404671654937,0.0139845439328629,False,False
ξ_U,0.1776781130490364,2.8306536681787488e-05,0.1776780608137756,2.3956847747768512e-05,False,False
ξ_S,0.1872429223538327,0.0110884948090443,0.187243176114016,0.0110905059584553,False,False
