t,frontier_floor,d_region,d_mass,d_flow,theta_U,theta_S,f_U,f_S,skilled_share,training_share,ur_U,ur_S,dist_to_z0,dist_to_z1
0.0,0.2922254122847954,0.4756677274245517,0.0,0.0,0.4589682539514732,1.212678966007424,0.3008016532578327,0.27281528054249493,0.3018627358534212,0.042037211648685506,0.06357443643504763,0.02594690491116503,2.150237051820504e-12,2.1502598871021654e-12
0.5,0.29222541228479515,0.4756677274245492,0.0,0.0,0.4589682539519718,1.21267896600679,0.30080165325799607,0.2728152805424236,0.30186273585345064,0.04203721164875265,0.06357443643466998,0.025946904911191566,2.5217626082838086e-12,2.521770258250595e-12
1.0,0.2922254122847948,0.4756677274245467,0.0,0.0,0.45896825395236074,1.2126789660062178,0.3008016532581235,0.2728152805423592,0.3018627358534799,0.042037211648817,0.0635744364343603,0.02594690491121686,3.169234407684577e-12,3.1692420576513624e-12
1.5,0.29222541228479454,0.47566772742454416,0.0,0.0,0.4589682539526657,1.2126789660056996,0.30080165325822344,0.2728152805423009,0.3018627358535091,0.04203721164887867,0.06357443643410637,0.02594690491124097,3.8088773865560515e-12,3.808885036522836e-12
2.0,0.2922254122847943,0.4756677274245415,0.0,0.0,0.4589682539529031,1.21267896600523,0.30080165325830127,0.27281528054224813,0.30186273585353807,0.04203721164893775,0.06357443643389814,0.02594690491126396,4.346952994915072e-12,4.346960644881857e-12
2.5,0.29222541228479404,0.47566772742453894,0.0,0.0,0.45896825395308793,1.212678966004804,0.30080165325836183,0.27281528054220017,0.30186273585356704,0.04203721164899437,0.06357443643372745,0.025946904911285887,4.800993460297953e-12,4.801001110264738e-12
3.0,0.2922254122847938,0.47566772742453634,0.0,0.0,0.45896825395323176,1.212678966004418,0.30080165325840896,0.27281528054215676,0.30186273585359585,0.04203721164904859,0.06357443643358758,0.02594690491130681,5.1853300785283835e-12,5.1853377284951666e-12
3.5,0.29222541228479365,0.4756677274245337,0.0,0.0,0.4589682539533439,1.2126789660040667,0.3008016532584457,0.2728152805421173,0.3018627358536246,0.042037211649100535,0.06357443643347302,0.02594690491132677,5.511678432878872e-12,5.511686082845656e-12
4.0,0.2922254122847935,0.47566772742453106,0.0,0.0,0.4589682539534288,1.2126789660037471,0.3008016532584735,0.2728152805420813,0.3018627358536532,0.04203721164915027,0.0635744364333793,0.02594690491134581,5.78963424789916e-12,5.789641897865944e-12
4.5,0.2922254122847934,0.47566772742452845,0.0,0.0,0.4589682539534944,1.2126789660034567,0.300801653258495,0.2728152805420486,0.3018627358536817,0.042037211649197895,0.06357443643330271,0.025946904911363984,6.027078201670587e-12,6.0270858516373704e-12
5.0,0.29222541228479326,0.4756677274245259,0.0,0.0,0.45896825395354635,1.2126789660031911,0.30080165325851205,0.27281528054201876,0.30186273585371,0.042037211649243476,0.06357443643324022,0.02594690491138132,6.2305009622418166e-12,6.2305086122086e-12
5.5,0.29222541228479315,0.4756677274245232,0.0,0.0,0.4589682539535844,1.212678966002949,0.3008016532585245,0.27281528054199156,0.3018627358537383,0.04203721164928711,0.06357443643318936,0.02594690491139786,6.405229866417108e-12,6.405237516383891e-12
6.0,0.2922254122847931,0.47566772742452057,0.0,0.0,0.4589682539536144,1.212678966002728,0.3008016532585343,0.2728152805419667,0.3018627358537664,0.04203721164932885,0.06357443643314803,0.025946904911413646,6.5556873388319975e-12,6.5556949887987806e-12
6.5,0.2922254122847931,0.4756677274245179,0.0,0.0,0.45896825395363705,1.212678966002526,0.30080165325854175,0.2728152805419439,0.30186273585379453,0.04203721164936878,0.06357443643311463,0.025946904911428696,6.698914715341176e-12,6.6988764655072295e-12
7.0,0.2922254122847931,0.47566772742451524,0.0,0.0,0.4589682539536535,1.2126789660023403,0.30080165325854713,0.27281528054192306,0.3018627358538224,0.042037211649406964,0.06357443643308772,0.025946904911443063,6.839036869872307e-12,6.83899862003836e-12
7.5,0.2922254122847931,0.4756677274245126,0.0,0.0,0.45896825395366614,1.2126789660021704,0.30080165325855124,0.27281528054190396,0.30186273585385015,0.042037211649443455,0.06357443643306614,0.025946904911456764,6.960812752660617e-12,6.96077450282667e-12
8.0,0.29222541228479315,0.4756677274245099,0.0,0.0,0.4589682539536748,1.212678966002014,0.3008016532585541,0.27281528054188636,0.30186273585387785,0.042037211649478344,0.06357443643304901,0.025946904911469816,7.066667193485448e-12,7.0666289436515014e-12
8.5,0.29222541228479326,0.47566772742450714,0.0,0.0,0.4589682539536817,1.2126789660018704,0.3008016532585564,0.2728152805418702,0.3018627358539055,0.042037211649511665,0.06357443643303548,0.025946904911482264,7.1586668692525e-12,7.158628619418554e-12
9.0,0.2922254122847934,0.47566772742450447,0.0,0.0,0.4589682539536861,1.212678966001738,0.3008016532585579,0.27281528054185533,0.3018627358539329,0.04203721164954347,0.06357443643302499,0.02594690491149413,7.238575390042286e-12,7.238537140208339e-12
9.5,0.29222541228479354,0.4756677274245017,0.0,0.0,0.45896825395368895,1.2126789660016164,0.3008016532585588,0.2728152805418416,0.3018627358539603,0.04203721164957385,0.06357443643301697,0.025946904911505433,7.307905495987382e-12,7.307867246153436e-12
10.0,0.2922254122847937,0.475667727424499,0.0,0.0,0.45896825395369106,1.2126789660015036,0.3008016532585595,0.27281528054182896,0.30186273585398754,0.04203721164960282,0.06357443643301094,0.025946904911516196,7.367949535858276e-12,7.36791128602433e-12
10.5,0.29222541228479393,0.4756677274244963,0.0,0.0,0.45896825395369245,1.2126789660013995,0.30080165325855995,0.27281528054181725,0.3018627358540147,0.042037211649630445,0.06357443643300663,0.02594690491152644,7.41984287691772e-12,7.419804627083774e-12
11.0,0.29222541228479415,0.4756677274244934,0.0,0.0,0.45896825395369284,1.212678966001303,0.30080165325856006,0.27281528054180637,0.30186273585404166,0.042037211649656785,0.06357443643300369,0.025946904911536187,7.46453488912962e-12,7.464496639295674e-12
