param,colnorm_h1e6,colnorm_mean,spread,spread_pair,spread_nrm,feasible
a_ℓ,590.610349231202,632.9274056641121,0.799151289704436,1.1987269958763425,0.2868480970203061,true
b_ℓ,288.7524474075895,288.7524494507243,4.208060396871638e-7,6.682480527609809e-7,1.7862560040206217e-8,true
ρ_x,21.47821271084825,21.478212763901187,1.2324764479579103e-8,2.0847259533253994e-8,2.2250658909848765e-9,true
c,2025.973524685867,2025.9734130440218,1.7667541313608778e-7,2.7915314649326523e-7,4.772326725094185e-8,true
A,4389.570969009881,4389.571028705067,6.941501198387066e-8,1.1034160160353828e-7,2.041413214950767e-8,true
b_U,14.302818674976518,14.30281862795322,1.6542834812598756e-8,3.132419067380532e-8,9.176374845496437e-9,true
b_S,4.582798188013821e-11,4.582294053932887e-11,0.012022326742331549,0.020659639430584183,0.001314284648122248,true
P_S,109.49626398162103,109.49625675235107,5.514501347421186e-7,8.715277313403957e-7,1.388094815714428e-7,true
α_U,212.6167369204896,212.61673783927844,1.8322338027597715e-8,2.8503406536805182e-8,7.162676104915867e-9,true
a_Γ,65.0817054210093,65.08170281531352,1.6872791901296537e-7,2.6066828546496713e-7,7.073770839114141e-8,true
b_Γ,53.68574600609862,53.68574787580175,1.892095816679623e-7,2.843485791373477e-7,6.591478692756591e-8,true
δ_S,15.53794559275836,15.53794905691201,9.873590830069636e-7,1.5735460874139703e-6,4.7603548614405193e-7,true
μ_U,139.89927127374884,139.89927119830205,9.277892462106146e-9,1.5778474936465276e-8,6.073292047203785e-10,true
μ_S,547.8357933387556,232.69258735707473,1.3835530960969746,2.4937267326599333,0.9211508554212937,true
β_U,50.838939744819626,50.83893995037903,1.2078667284537194e-8,1.9628704962598365e-8,8.511754431456683e-9,true
β_S,53.936744595294,68.8615117789055,1.7455877135426068,2.6183817849409587,0.7357771995294854,true
λ_U,39.379674337467385,39.379674398882145,4.416141190710058e-9,8.182399882733493e-9,1.3581633263403256e-9,true
λ_S,246.8294890825458,105.11386032629619,1.3624612558506985,2.4550216126910356,0.9843642820204681,true
k_U,343.8842152436389,343.8842160513649,5.137631535367074e-9,8.062938050739407e-9,2.6148144210966974e-9,true
k_S,428.71686937936227,620.1287295812023,2.0534187629289127,3.0801282641280534,0.8918638355491385,true
σ_S,1.5102938771707541,1.510294703587844,3.4614978433616468e-6,5.754733256412865e-6,1.4201346337431311e-6,true
ξ_U,0.17767850089555237,0.17767850441724503,7.325499610245562e-8,1.168992243543905e-7,4.14779348447525e-8,true
ξ_S,0.17985885210293687,0.17985884154038728,6.471343992068282e-7,1.090035590250936e-6,7.276605139223919e-8,true
