moment,below,above,rel_step
ur_U,0.06356753960780585,0.06356753967250947,1.0178719809373787e-9
ur_S,0.02602575523623809,0.026025753748770766,-5.715366602901415e-8
skilled_share,0.30190154564356037,0.30190154413337844,-5.002233164255597e-9
training_share,0.04204238905116152,0.042042388849697465,-4.791926869990602e-9
emp_var_U,0.2934140352218999,0.2934140358880234,2.2702509414629617e-9
emp_cm3_U,-0.039106001284362965,-0.03910600139958382,-2.9463726770114655e-9
emp_var_S,0.2409160774518456,0.240316897536049,-0.00248708978717432
emp_cm3_S,-0.060253349842017696,-0.05961401735183852,0.01061073769102437
jfr_U,0.3020410562116201,0.30204105561987243,-1.9591629638100692e-9
sep_rate_U,0.015279214588508427,0.015279214550036684,-2.5179136616902172e-9
jfr_S,0.26721453133179207,0.2672145388757161,2.823171331068841e-8
sep_rate_S,0.006213579156066347,0.006213580313801731,1.8632343051314947e-7
ee_rate_S,0.0074702738162154775,0.007380074107589456,-0.012074484931225418
mean_wage_U,6.528419731557953,6.528419729796365,-2.6983378536800794e-10
mean_wage_S,6.91288303717226,6.913237529702452,5.127998380504648e-5
p25_wage_U,6.162544293776426,6.162544291566594,-3.5859090203483223e-10
p25_wage_S,6.6151537554346795,6.615378904453374,3.403534173482601e-5
p50_wage_U,6.556582885947519,6.556582884241999,-2.6012319389937456e-10
p50_wage_S,6.948171218535515,6.948188502327117,2.487531043474859e-6
p75_wage_U,6.921633932603953,6.921633931311819,-1.8668054567160714e-10
p75_wage_S,7.254499459445194,7.254499778387617,4.396477310082841e-8
theta_U,0.4586954451742007,0.45869544337688234,-3.9183261325452215e-9
theta_S,1.2130500503205308,1.2130501188134934,5.646342672900721e-8
overlap_UgtS,0.2336562589905259,0.23364575389467912,-4.495961671283501e-5
overlap_SltU,0.21528900625714806,0.2151121463923408,-0.0008214997499501111
wchg_rate_U,0.15063578395645957,0.1506357839949313,2.553956622696445e-10
wchg_rate_S,0.1277759691990829,0.1277760353471634,5.176879572892607e-7
usurv5_S,0.731943651576517,0.7319436452052934,-8.704527370402428e-9
usurv14_S,0.4173855555246329,0.41738554535182965,-2.4372676849445888e-8
usurv27_S,0.18542970228103417,0.1854296935650133,-4.700444842463388e-8
usurv53_S,0.03659848199186306,0.03659847861499473,-9.226798880300494e-8
