rung,jump_muS,slope_muS,jump_lamS,slope_lamS
shipped 1e-4,0.3599474200441364,461.8953795453722,0.36001546402917484,-448.8170505517853
uniform 1e-4,0.3599447928044128,462.1747471922145,0.36001751116509695,-451.7155391884674
uniform 1e-6,0.3599483080195114,462.18373433903514,0.3600155379137959,-448.6888488639858
uniform 1e-8,0.35994833660140557,462.18158238382887,0.3600151874712765,-448.47794947346506
