rung,param,h_far,jump,slope,Q_base,Q_far,nodes_moved,all_ok
shipped 1e-4,λ_S,1.0e-6,0.3600182608100795,-452.3103139604919,963.9059048031888,964.2654709338037,1,true
shipped 1e-4,μ_S,-1.0e-6,0.3599520186909331,466.8987824639322,963.9059048031888,964.2653901941184,1,true
uniform 1e-4,λ_S,1.0e-6,0.3600312211377741,-468.5386359866717,963.9059073115143,964.265470455773,1,true
uniform 1e-4,μ_S,-1.0e-6,0.359967662417489,485.5252015786272,963.9059073115143,964.2653898294782,1,true
uniform 1e-6,λ_S,1.0e-6,0.3600163153455469,-449.6789178640191,963.9059042210909,964.2654709411177,1,true
uniform 1e-6,μ_S,-1.0e-6,0.3599479843261406,461.9062048070979,963.9059042210909,964.2653903088069,1,true
uniform 1e-8,λ_S,1.0e-6,0.360014976744651,-448.22263206629975,963.9059041880556,964.2654709386786,1,true
uniform 1e-8,μ_S,-1.0e-6,0.3599477658442538,461.6412234166793,963.9059041880556,964.2653903066216,1,true
