baseline,policy,intensity,label,converged,x_bar,ur_U,ur_S,ur_total,skilled_share,training_share,theta_U,theta_S,f_U,f_S,sep_rate_U,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,wage_premium,UU_x25,UU_x50,UU_x75,US_x25,US_x50,US_x75
Pre-FC,baseline,0.0,Baseline,true,0.10308364124769726,0.20873933007412235,0.19647683627392215,0.20489755269000004,0.31329495017233655,0.5415634806118276,0.03667272112163418,0.9971845828522737,0.008291140070307996,0.39069534051450217,0.10965133157690239,0.06279645193477751,0.004781882697328521,0.8365498191819827,1.2823863188292033,0.42719185747066496,10.79219664004382,21.25206842593606,30.816182498870194,17.930771371857375,33.275905843086434,50.37396842980895
Pre-FC,A,0.1,bT +10%,true,0.051662210280614684,0.11375687169223919,0.26003639225967634,0.16331405736638852,0.3387841680223629,0.5856242914526667,0.014977395093400365,0.6794415387998457,0.005298596245255256,0.24289391948488304,0.1831748439711972,0.05115967137214478,0.0030396268689633485,1.2759308717613453,1.2695493526928026,-0.005014010619036696,12.299013351575287,22.683805079278017,32.15777918037341,17.726692428353896,32.85288491446035,49.688089095916055
Pre-FC,A,0.25,bT +25%,true,0.00022308867418469047,0.05716417274010986,0.291189638005078,0.139756393626891,0.3529198020961891,0.6100592310693616,0.0023895186626370184,0.5793277008399303,0.0021164007054899543,0.1979157871106938,0.2177811668170306,0.046946239654747535,0.0027325043021071945,1.5433820891783203,1.2648449851534296,-0.19902659690130337,14.635370680401195,24.989601297828454,34.42477077644334,17.642633174513527,32.67970596932692,49.40175143490546
Pre-FC,A,0.5,bT +50%,true,0.00022308867418469047,0.05716692509067343,0.2911812584165412,0.13975779035054375,0.3529307973835157,0.6100782375872501,2.1137021138243484e-7,0.5793579535090994,1.9905109686411558e-5,0.19792346436131958,0.27416175961962036,0.046944425729579374,0.002731497451899484,1.8895929156554854,1.2648841666053616,-0.401380867244049,18.577362800713907,28.931603297199523,38.36678576253719,17.642660716618217,32.67976233636211,49.40184569435595
Pre-FC,B,0.1,c(x) −10%,true,0.043368448714121155,0.10054305696607296,0.2679110713005106,0.1577161809314353,0.34160125632558447,0.590493926746323,0.08331419737848011,0.6520272324169999,0.012496897036824155,0.23016729307710035,0.14192733838296426,0.050425763184915234,0.0032128338288961097,1.1502657804962682,1.2679963193034902,0.0974449241057519,11.827030331238673,21.684190044022742,30.778153350855384,17.704405468125643,32.80766710656241,49.613914757748155
Pre-FC,B,0.25,c(x) −25%,true,0.00022308867418469047,0.057057201645082725,0.29153959759255565,0.1397104117728568,0.35249217662501825,0.6093200351824244,0.12883711175213045,0.5766750994761858,0.015540435114591088,0.19738673003374108,0.12943960158997983,0.046988688932298225,0.0027064477336941695,1.2836351415316232,1.263820728510163,-0.015556550245963752,13.4737057248233,22.527645443466454,31.03646988081385,17.640211639412964,32.67474860448427,49.39346202054872
Pre-FC,B,0.5,c(x) −50%,true,0.00022308867418469047,0.05712482848485468,0.29132940389299694,0.13974344015556017,0.3527625859858978,0.609787466382919,0.05437231843340857,0.5778739565165665,0.010095587798517146,0.197654755700955,0.12616535129346423,0.046953784959632226,0.002705759434243732,1.3799568616374005,1.264341104494282,-0.0875011185282416,16.255229740608357,24.010141916226925,31.59428122232137,17.64130779468414,32.67699302134508,49.397214877219206
