   8.78387748E+003    8.70434385E+003    8.52921152E+003    8.26922444E+003    7.95307825E+003    7.59717165E+003    7.21329495E+003    6.80959376E+003    6.39204291E+003    5.96466482E+003    5.53044863E+003    5.08732053E+003    4.64436666E+003    4.19892805E+003    3.74686832E+003    3.29767833E+003    2.84203786E+003    2.38488642E+003    1.93163582E+003    1.47106419E+003    1.00847734E+003    5.43759087E+002    8.42194777E+001   -4.77218148E+002   -1.03380994E+003   -1.57417827E+003   -2.13134185E+003   -3.35337306E+003   -4.04496755E+003   -4.74781241E+003   -5.42293298E+003   -6.16602530E+003   -6.91332471E+003   -7.66499048E+003   -8.34776062E+003   -9.03033545E+003   -9.80070065E+003   -1.06336977E+004   -1.13306218E+004   -1.20299190E+004   -1.27319668E+004   -1.34366688E+004   -1.41425614E+004   -1.48499424E+004   -1.55598856E+004   -1.62704893E+004   -1.69818153E+004   -1.76948225E+004   -1.84083910E+004   -1.91221934E+004   -1.98367761E+004   -2.05519363E+004   -2.12666911E+004   -2.19818481E+004   -2.26971319E+004   -2.34117541E+004   -2.41264388E+004   -2.48408330E+004   -2.55542700E+004   -2.62677012E+004   -2.69803811E+004   -2.76918402E+004   -2.84034903E+004   -2.91136682E+004   -2.98231320E+004   -3.05318847E+004   -3.12391351E+004   -3.19461703E+004   -3.26516483E+004   -3.33563157E+004   -3.40599600E+004   -3.47623011E+004   -3.54640463E+004   -3.61642244E+004   -3.68639157E+004   -3.75622653E+004   -3.82598642E+004   -3.89564924E+004   -3.96521944E+004   -4.03473060E+004   -4.10414849E+004   -4.17353650E+004   -4.24284154E+004   -4.31214658E+004   -4.38139350E+004   -4.45067275E+004   -4.51995513E+004   -4.58932528E+004   -4.65876543E+004   -4.72836838E+004   -4.79814263E+004   -4.86818720E+004   -4.93856535E+004   -5.00939825E+004   -5.08082262E+004   -5.15304164E+004   -5.22635219E+004   -5.30121226E+004   -5.37847712E+004   -5.46000587E+004
   8.45627262E+003    8.43394184E+003    8.35108449E+003    8.19597690E+003    7.98267040E+003    7.72083202E+003    7.42013685E+003    7.08882934E+003    6.73388863E+003    6.36058388E+003    5.97314260E+003    5.57059525E+003    5.16298707E+003    4.74846918E+003    4.32358225E+003    3.89837906E+003    3.46400663E+003    3.02579408E+003    2.58947734E+003    2.14410673E+003    1.69521618E+003    1.24288298E+003    7.94581803E+002    3.30032038E+002   -1.97531071E+002   -7.69832341E+002   -1.33190110E+003   -1.89500730E+003   -3.12035076E+003   -3.78928602E+003   -4.54810660E+003   -5.25654664E+003   -5.97964962E+003   -6.78009545E+003   -7.46800992E+003   -8.15028601E+003   -8.83282207E+003   -9.58901442E+003   -1.04363392E+004   -1.11317677E+004   -1.18301592E+004   -1.25314013E+004   -1.32340162E+004   -1.39382882E+004   -1.46452795E+004   -1.53530773E+004   -1.60617334E+004   -1.67721976E+004   -1.74833419E+004   -1.81948310E+004   -1.89072043E+004   -1.96202525E+004   -2.03329869E+004   -2.10462095E+004   -2.17596396E+004   -2.24724845E+004   -2.31854634E+004   -2.38982196E+004   -2.46100827E+004   -2.53220002E+004   -2.60332237E+004   -2.67432804E+004   -2.74535795E+004   -2.81624548E+004   -2.88706623E+004   -2.95782022E+004   -3.02842814E+004   -3.09901850E+004   -3.16945689E+004   -3.23981779E+004   -3.31007979E+004   -3.38021470E+004   -3.45029312E+004   -3.52021776E+004   -3.59009653E+004   -3.65984381E+004   -3.72951856E+004   -3.79909869E+004   -3.86858851E+004   -3.93802152E+004   -4.00736336E+004   -4.07667735E+004   -4.14591028E+004   -4.21514505E+004   -4.28432344E+004   -4.35353582E+004   -4.42275289E+004   -4.49205923E+004   -4.56143695E+004   -4.63097879E+004   -4.70069315E+004   -4.77067897E+004   -4.84099938E+004   -4.91177545E+004   -4.98314379E+004   -5.05530736E+004   -5.12856284E+004   -5.20336789E+004   -5.28057719E+004   -5.36204861E+004
   8.16214865E+003    8.16508785E+003    8.13173020E+003    8.04353900E+003    7.90599302E+003    7.72209636E+003    7.49727295E+003    7.23740135E+003    6.94840035E+003    6.63520921E+003    6.30220824E+003    5.94877623E+003    5.58542011E+003    5.21077003E+003    4.82182603E+003    4.42906800E+003    4.02403545E+003    3.61240944E+003    3.20023665E+003    2.77684295E+003    2.34800286E+003    1.91400521E+003    1.48250972E+003    1.03339992E+003    5.64783879E+002    9.26289157E+001   -5.02665513E+002   -1.07845126E+003   -1.64752603E+003   -2.84092195E+003   -3.55728416E+003   -4.33512709E+003   -5.04941005E+003   -5.77605097E+003   -6.53023749E+003   -7.22143662E+003   -7.90262389E+003   -8.58342244E+003   -9.29781923E+003   -1.00493810E+004   -1.08727512E+004   -1.15683008E+004   -1.22655094E+004   -1.29646419E+004   -1.36667426E+004   -1.43698816E+004   -1.50740965E+004   -1.57803228E+004   -1.64874195E+004   -1.71950396E+004   -1.79037120E+004   -1.86132170E+004   -1.93225567E+004   -2.00325244E+004   -2.07428315E+004   -2.14526776E+004   -2.21627753E+004   -2.28727616E+004   -2.35819595E+004   -2.42913115E+004   -2.50000637E+004   -2.57077385E+004   -2.64157403E+004   -2.71223990E+004   -2.78284661E+004   -2.85339386E+004   -2.92380195E+004   -2.99419905E+004   -3.06445044E+004   -3.13463032E+004   -3.20471698E+004   -3.27468199E+004   -3.34459566E+004   -3.41436049E+004   -3.48408418E+004   -3.55368086E+004   -3.62320932E+004   -3.69264724E+004   -3.76199878E+004   -3.83129724E+004   -3.90050810E+004   -3.96969451E+004   -4.03880312E+004   -4.10791666E+004   -4.17697676E+004   -4.24607366E+004   -4.31517790E+004   -4.38437392E+004   -4.45364370E+004   -4.52307982E+004   -4.59269053E+004   -4.66257461E+004   -4.73279503E+004   -4.80347263E+004   -4.87474380E+004   -4.94681122E+004   -5.01997116E+004   -5.09468071E+004   -5.17179357E+004   -5.25316540E+004
   7.89177178E+003    7.90859426E+003    7.90591109E+003    7.86252556E+003    7.78031733E+003    7.65773545E+003    7.49652995E+003    7.29994422E+003    7.07220345E+003    6.81721475E+003    6.53885484E+003    6.23626807E+003    5.91997694E+003    5.58874324E+003    5.23977764E+003    4.88380309E+003    4.51261132E+003    4.13212851E+003    3.74863023E+003    3.35166301E+003    2.94720510E+003    2.53573320E+003    2.12507741E+003    1.69527584E+003    1.24457615E+003    7.89072774E+002    3.11668281E+002   -2.36803064E+002   -8.35757617E+002   -1.41315115E+003   -1.99467282E+003   -3.34386599E+003   -4.10153812E+003   -4.86595702E+003   -5.52740270E+003   -6.25669966E+003   -6.95757946E+003   -7.63756877E+003   -8.31348138E+003   -8.98893403E+003   -9.75644355E+003   -1.05891521E+004   -1.12791908E+004   -1.19713191E+004   -1.26667402E+004   -1.33635044E+004   -1.40616298E+004   -1.47620346E+004   -1.54635618E+004   -1.61658495E+004   -1.68694127E+004   -1.75740188E+004   -1.82786580E+004   -1.89841125E+004   -1.96900835E+004   -2.03957610E+004   -2.11018484E+004   -2.18079745E+004   -2.25134545E+004   -2.32192232E+004   -2.39245202E+004   -2.46288614E+004   -2.53336452E+004   -2.60371956E+004   -2.67402590E+004   -2.74428272E+004   -2.81440985E+004   -2.88453503E+004   -2.95452310E+004   -3.02444790E+004   -3.09428729E+004   -3.16401250E+004   -3.23369352E+004   -3.30323252E+004   -3.37273689E+004   -3.44212048E+004   -3.51144179E+004   -3.58067825E+004   -3.64983376E+004   -3.71894139E+004   -3.78796638E+004   -3.85697165E+004   -3.92590363E+004   -3.99484486E+004   -4.06373675E+004   -4.13266934E+004   -4.20161299E+004   -4.27065191E+004   -4.33976791E+004   -4.40905335E+004   -4.47851627E+004   -4.54825524E+004   -4.61833293E+004   -4.68886995E+004   -4.76000235E+004   -4.83193237E+004   -4.90495575E+004   -4.97952873E+004   -5.05650360E+004   -5.13773290E+004
   7.64322085E+003    7.66853856E+003    7.68628005E+003    7.67535417E+003    7.63455274E+003    7.56016658E+003    7.45153659E+003    7.30942671E+003    7.13637596E+003    6.93502474E+003    6.70844679E+003    6.45527595E+003    6.18578905E+003    5.89861551E+003    5.59095542E+003    5.27359551E+003    4.93843639E+003    4.59154461E+003    4.23935235E+003    3.87156449E+003    3.49430927E+003    3.10820245E+003    2.72121284E+003    2.31350920E+003    1.88346114E+003    1.44727564E+003    9.87960814E+002    5.15488408E+002    2.84267108E+001   -6.01783749E+002   -1.19123221E+003   -1.79074724E+003   -3.11949241E+003   -3.88464835E+003   -4.61099155E+003   -5.27127301E+003   -5.95419089E+003   -6.68293119E+003   -7.36163470E+003   -8.03217020E+003   -8.70321714E+003   -9.43253108E+003   -1.01606813E+004   -1.09738403E+004   -1.16609589E+004   -1.23497833E+004   -1.30403104E+004   -1.37334386E+004   -1.44279923E+004   -1.51235926E+004   -1.58207382E+004   -1.65191819E+004   -1.72179000E+004   -1.79176617E+004   -1.86181560E+004   -1.93185618E+004   -2.00195717E+004   -2.07208044E+004   -2.14215661E+004   -2.21227829E+004   -2.28236861E+004   -2.35237839E+004   -2.42244674E+004   -2.49240539E+004   -2.56232832E+004   -2.63221410E+004   -2.70198200E+004   -2.77175922E+004   -2.84141009E+004   -2.91100793E+004   -2.98053019E+004   -3.04994765E+004   -3.11932989E+004   -3.18857866E+004   -3.25780098E+004   -3.32691037E+004   -3.39596497E+004   -3.46494189E+004   -3.53384471E+004   -3.60270620E+004   -3.67149133E+004   -3.74026272E+004   -3.80896654E+004   -3.87768507E+004   -3.94635945E+004   -4.01507948E+004   -4.08381526E+004   -4.15265077E+004   -4.22156754E+004   -4.29065770E+004   -4.35992899E+004   -4.42947969E+004   -4.49937219E+004   -4.56972671E+004   -4.64067887E+004   -4.71243038E+004   -4.78527626E+004   -4.85967168E+004   -4.93646707E+004   -5.01751091E+004
   7.41050212E+003    7.44135922E+003    7.47320176E+003    7.48640276E+003    7.47845783E+003    7.44290566E+003    7.37729737E+003    7.28154455E+003    7.15659809E+003    7.00368042E+003    6.82500562E+003    6.61850276E+003    6.39400935E+003    6.14991609E+003    5.88329528E+003    5.60485412E+003    5.30648245E+003    4.99428693E+003    4.67476801E+003    4.33771722E+003    3.98936299E+003    3.63043078E+003    3.26900294E+003    2.88534340E+003    2.47791506E+003    2.06301831E+003    1.62375089E+003    1.17016922E+003    7.00922214E+002    2.16205434E+002   -3.77864007E+002   -9.99749927E+002   -1.59423963E+003   -2.91951196E+003   -3.60529398E+003   -4.34868757E+003   -5.01517304E+003   -5.66326825E+003   -6.39907113E+003   -7.08184775E+003   -7.74846170E+003   -8.41282267E+003   -9.07725489E+003   -9.84479196E+003   -1.05382215E+004   -1.13422403E+004   -1.20238004E+004   -1.27083265E+004   -1.33946231E+004   -1.40822924E+004   -1.47718159E+004   -1.54629300E+004   -1.61545957E+004   -1.68475679E+004   -1.75415225E+004   -1.82356252E+004   -1.89305573E+004   -1.96259263E+004   -2.03210279E+004   -2.10167787E+004   -2.17124001E+004   -2.24073920E+004   -2.31031372E+004   -2.37979452E+004   -2.44925486E+004   -2.51869263E+004   -2.58802641E+004   -2.65738279E+004   -2.72662552E+004   -2.79582735E+004   -2.86496521E+004   -2.93400937E+004   -3.00302893E+004   -3.07192519E+004   -3.14080477E+004   -3.20958069E+004   -3.27831076E+004   -3.34697168E+004   -3.41556668E+004   -3.48412817E+004   -3.55262077E+004   -3.62110680E+004   -3.68953209E+004   -3.75797861E+004   -3.82638721E+004   -3.89484737E+004   -3.96332892E+004   -4.03191551E+004   -4.10058841E+004   -4.16943938E+004   -4.23847588E+004   -4.30779583E+004   -4.37746123E+004   -4.44759186E+004   -4.51832284E+004   -4.58985521E+004   -4.66248309E+004   -4.73666034E+004   -4.81323512E+004   -4.89405091E+004
   7.18787158E+003    7.22252808E+003    7.26449251E+003    7.29567719E+003    7.31366562E+003    7.31082297E+003    7.28221633E+003    7.22586236E+003    7.14216245E+003    7.03224982E+003    6.89726427E+003    6.73412420E+003    6.55219374E+003    6.34944161E+003    6.12267947E+003    5.88249164E+003    5.62071170E+003    5.34340265E+003    5.05705349E+003    4.75148555E+003    4.43297467E+003    4.10230347E+003    3.76762865E+003    3.40928960E+003    3.02582950E+003    2.63363080E+003    2.21585360E+003    1.78262245E+003    1.33265242E+003    8.66204292E+002    3.84342020E+002   -1.78776905E+002   -8.15902234E+002   -1.43585409E+003   -1.99322127E+003   -3.36283842E+003   -4.07192539E+003   -4.76265263E+003   -5.40688367E+003   -6.10143593E+003   -6.80311346E+003   -7.46692911E+003   -8.12430694E+003   -8.78173881E+003   -9.51315743E+003   -1.02221512E+004   -1.08993515E+004   -1.16971345E+004   -1.23740071E+004   -1.30526110E+004   -1.37334094E+004   -1.44161217E+004   -1.50996926E+004   -1.57848619E+004   -1.64712910E+004   -1.71581324E+004   -1.78460547E+004   -1.85346532E+004   -1.92232128E+004   -1.99126388E+004   -2.06021433E+004   -2.12912162E+004   -2.19812316E+004   -2.26704903E+004   -2.33597170E+004   -2.40488829E+004   -2.47371666E+004   -2.54258273E+004   -2.61134958E+004   -2.68008937E+004   -2.74877840E+004   -2.81738639E+004   -2.88598192E+004   -2.95446579E+004   -3.02294408E+004   -3.09132941E+004   -3.15967910E+004   -3.22796948E+004   -3.29620328E+004   -3.36441257E+004   -3.43256157E+004   -3.50071222E+004   -3.56881002E+004   -3.63693655E+004   -3.70503234E+004   -3.77318653E+004   -3.84136857E+004   -3.90966181E+004   -3.97804716E+004   -4.04661600E+004   -4.11537544E+004   -4.18442297E+004   -4.25382016E+004   -4.32368629E+004   -4.39415583E+004   -4.46542909E+004   -4.53779912E+004   -4.61171822E+004   -4.68803186E+004   -4.76857758E+004
   6.97681841E+003    7.01418007E+003    7.06358896E+003    7.10849238E+003    7.14682221E+003    7.17071450E+003    7.17433298E+003    7.15357603E+003    7.10708339E+003    7.03483027E+003    6.93813535E+003    6.81428915E+003    6.67206704E+003    6.50844382E+003    6.31994617E+003    6.11687751E+003    5.89090629E+003    5.64803010E+003    5.39472463E+003    5.12079039E+003    4.83249153E+003    4.53062857E+003    4.22340373E+003    3.89119687E+003    3.53259825E+003    3.16404914E+003    2.76876985E+003    2.35695317E+003    1.92736273E+003    1.48030595E+003    1.01689827E+003    5.24338128E+002    2.49690969E+001   -6.64016475E+002   -1.22836720E+003   -1.77684886E+003   -3.10835722E+003   -3.75910653E+003   -4.50602270E+003   -5.15084136E+003   -5.78271038E+003   -6.52024530E+003   -7.18418034E+003   -7.83519950E+003   -8.48591452E+003   -9.13658595E+003   -9.89904227E+003   -1.05759112E+004   -1.13675630E+004   -1.20362579E+004   -1.27073258E+004   -1.33806555E+004   -1.40551748E+004   -1.47316082E+004   -1.54096020E+004   -1.60882948E+004   -1.67683419E+004   -1.74493264E+004   -1.81305208E+004   -1.88128197E+004   -1.94954242E+004   -2.01778147E+004   -2.08613550E+004   -2.15443377E+004   -2.22274783E+004   -2.29107400E+004   -2.35932941E+004   -2.42763917E+004   -2.49586570E+004   -2.56408048E+004   -2.63225919E+004   -2.70037096E+004   -2.76848374E+004   -2.83649780E+004   -2.90451868E+004   -2.97245853E+004   -3.04037413E+004   -3.10824133E+004   -3.17606249E+004   -3.24386919E+004   -3.31162522E+004   -3.37939213E+004   -3.44711499E+004   -3.51487503E+004   -3.58261236E+004   -3.65041575E+004   -3.71825429E+004   -3.78621092E+004   -3.85426614E+004   -3.92251102E+004   -3.99095214E+004   -4.05968658E+004   -4.12877539E+004   -4.19833726E+004   -4.26850597E+004   -4.33948094E+004   -4.41155403E+004   -4.48517572E+004   -4.56118841E+004   -4.64142279E+004
   6.77203104E+003    6.81137769E+003    6.86640236E+003    6.92211774E+003    6.97663510E+003    7.02219376E+003    7.05273352E+003    7.06350551E+003    7.05138798E+003    7.01477192E+003    6.95389512E+003    6.86500506E+003    6.75770192E+003    6.62978650E+003    6.47751618E+003    6.31001904E+003    6.11877496E+003    5.90958135E+003    5.68879517E+003    5.44618612E+003    5.18802655E+003    4.91510872E+003    4.63563230E+003    4.32998894E+003    3.99679456E+003    3.65253167E+003    3.28045360E+003    2.89079448E+003    2.48236762E+003    2.05553507E+003    1.61145324E+003    1.13735328E+003    6.55621261E+002    1.41397671E+002   -4.56655749E+002   -1.02459572E+003   -1.56914426E+003   -2.11080431E+003   -3.52200410E+003   -4.23980201E+003   -4.89906701E+003   -5.52689448E+003   -6.22661576E+003   -6.90376829E+003   -7.55114085E+003   -8.19364705E+003   -8.83622927E+003   -9.56362561E+003   -1.02541215E+004   -1.09161232E+004   -1.17009331E+004   -1.23639859E+004   -1.30285789E+004   -1.36954201E+004   -1.43641414E+004   -1.50338667E+004   -1.57052379E+004   -1.63778254E+004   -1.70508893E+004   -1.77253127E+004   -1.84002861E+004   -1.90752787E+004   -1.97516452E+004   -2.04276680E+004   -2.11040545E+004   -2.17807587E+004   -2.24569437E+004   -2.31338534E+004   -2.38101044E+004   -2.44864042E+004   -2.51625030E+004   -2.58380855E+004   -2.65138253E+004   -2.71887192E+004   -2.78638170E+004   -2.85382343E+004   -2.92125340E+004   -2.98864696E+004   -3.05600596E+004   -3.12336151E+004   -3.19067698E+004   -3.25801348E+004   -3.32531559E+004   -3.39266415E+004   -3.45999885E+004   -3.52740803E+004   -3.59486038E+004   -3.66243841E+004   -3.73012220E+004   -3.79800233E+004   -3.86608501E+004   -3.93446672E+004   -4.00320796E+004   -4.07242679E+004   -4.14225620E+004   -4.21289461E+004   -4.28463252E+004   -4.35791840E+004   -4.43359114E+004   -4.51347369E+004
   6.57525839E+003    6.61597234E+003    6.67543750E+003    6.73964553E+003    6.80722168E+003    6.87066838E+003    6.92370101E+003    6.96127829E+003    6.97978868E+003    6.97642645E+003    6.94981332E+003    6.89517923E+003    6.82170843E+003    6.72631696E+003    6.60538105E+003    6.47008955E+003    6.31190076E+003    6.13526522E+003    5.94624783E+003    5.73446434E+003    5.50609818E+003    5.26190658E+003    5.01015142E+003    4.73120760E+003    4.42367303E+003    4.10405402E+003    3.75561930E+003    3.38863520E+003    3.00194453E+003    2.59593862E+003    2.17181262E+003    1.71684445E+003    1.25345488E+003    7.56805894E+002    3.00282650E+002   -2.39440301E+002   -8.24004451E+002   -1.36486071E+003   -1.89609918E+003   -3.27607187E+003   -3.92335342E+003   -4.64541727E+003   -5.27088347E+003   -5.88586980E+003   -6.62131466E+003   -7.26694831E+003   -7.90199877E+003   -8.53754372E+003   -9.17288787E+003   -9.92812698E+003   -1.05879264E+004   -1.12410833E+004   -1.20197818E+004   -1.26762479E+004   -1.33349278E+004   -1.39949320E+004   -1.46568883E+004   -1.53203541E+004   -1.59845775E+004   -1.66504295E+004   -1.73170897E+004   -1.79840165E+004   -1.86525545E+004   -1.93209766E+004   -1.99899805E+004   -2.06595117E+004   -2.13287250E+004   -2.19988563E+004   -2.26685140E+004   -2.33383987E+004   -2.40082536E+004   -2.46777567E+004   -2.53475749E+004   -2.60166986E+004   -2.66861721E+004   -2.73551050E+004   -2.80240552E+004   -2.86927702E+004   -2.93612635E+004   -3.00298415E+004   -3.06981328E+004   -3.13667435E+004   -3.20351155E+004   -3.27040524E+004   -3.33729462E+004   -3.40426762E+004   -3.47129246E+004   -3.53845122E+004   -3.60572349E+004   -3.67319939E+004   -3.74088460E+004   -3.80887505E+004   -3.87723061E+004   -3.94606864E+004   -4.01552125E+004   -4.08578577E+004   -4.15715119E+004   -4.23006374E+004   -4.30535839E+004   -4.38484949E+004
