window,ee_rate_S,ee_rate_S_sd,n_quarters
crisis_covid,0.009150666470462143,0.0017252638908894773,12
base_fc,0.007969232370204854,0.0005100685416099426,20
crisis_fc,0.006149727906758079,0.0009212245252999691,12
base_covid,0.00850826375468986,0.00031974331226575697,20
