moment,scale
ur_U,0.06394194715947513
ur_S,0.026013316626321868
skilled_share,0.29153426164954194
training_share,0.03344103071874698
emp_var_U,0.2590637688876957
emp_cm3_U,0.17792973611965424
emp_var_S,0.40399123722083913
emp_cm3_S,0.24488736696654642
jfr_U,0.2610491741886297
sep_rate_U,0.015135479632550991
jfr_S,0.2741190853760237
sep_rate_S,0.006221618803323924
ee_rate_S,0.007969232370204854
mean_wage_U,0.9264500708965039
mean_wage_S,1.3275982327617328
p25_wage_U,0.5606060606060606
p25_wage_S,0.8730794629099714
p50_wage_U,0.8190237663860171
p50_wage_S,1.20530303030303
wage_premium,0.38759798825264213
theta_U,0.9045583775106759
theta_S,1.6345019771100535
