moment,scale
ur_U,0.0944795201824589
ur_S,0.046989680824468125
skilled_share,0.39480817195802964
training_share,0.03889754801844489
emp_var_U,0.2848571743637077
emp_cm3_U,0.30728040238750337
emp_var_S,0.43212917539835916
emp_cm3_S,0.37147623584459283
jfr_U,0.2612770356222891
sep_rate_U,0.02547097182898591
jfr_S,0.26702838126265377
sep_rate_S,0.012721403635816126
ee_rate_S,0.008499770525599424
mean_wage_U,0.9164116468880247
mean_wage_S,1.2958148314218396
p25_wage_U,0.5560344827586207
p25_wage_S,0.8472906403940887
p50_wage_U,0.8121110138208207
p50_wage_S,1.1491379310344827
wage_premium,0.36861479354299437
theta_U,1.2018521048705455
theta_S,1.9442392776240318
