moment,scale
ur_U,0.08629590186855204
ur_S,0.03331583789623677
skilled_share,0.30682048294763903
training_share,0.03394829896700768
emp_var_U,0.2469569148168219
emp_cm3_U,0.16724026144291435
emp_var_S,0.41119272909557275
emp_cm3_S,0.2737325916281598
jfr_U,0.21753874450619665
sep_rate_U,0.01968319749479014
jfr_S,0.23186214843869576
sep_rate_S,0.0076889063072714476
ee_rate_S,0.00656322215498395
mean_wage_U,0.9164234024386954
mean_wage_S,1.3249481132206238
p25_wage_U,0.5587318087318086
p25_wage_S,0.8738061369640316
p50_wage_U,0.83011583011583
p50_wage_S,1.1972824472824473
wage_premium,0.39048664896442264
theta_U,0.541454774688818
theta_S,1.0513802276322886
