window,rho_NILF,rho_UN_gross,rho_NU_gross,nilf_u_ratio,nu_floor,rho_net_raw
base_fc,0.0032303158120597433,0.16822195173562324,0.026706696396785322,6.470148877967525,0.0032303158120597433,-0.00457434999025666
crisis_fc,0.0033132173802319673,0.14711797056243187,0.03766095275861812,4.050614566052555,0.0033132173802319673,-0.005432033253043839
base_covid,0.0033567746912615453,0.18284321244339624,0.026338494839622466,7.133056006833657,0.0033567746912615453,-0.005030746383330065
crisis_covid,0.0033604975331921823,0.16777563251308547,0.03647205154680233,4.697082742059089,0.0033604975331921823,-0.0035366113748892536
