ur_total,ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_U,emp_var_S,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,p25_wage_U,p25_wage_S,p50_wage_U,p50_wage_S,p75_wage_U,p75_wage_S,wage_premium,theta_U,theta_S,overlap_UgtS,overlap_SltU,ltu_share_S,wchg_rate_U,wchg_rate_S,ee_step_S
0.0409022643416481,0.03993632902035608,0.04774373672634656,0.0014512576856566249,0.02376026181226528,5.935449075556787e-5,-0.0018630097695741448,-0.0006160580901223272,0.00253186445164937,-0.030430361539056292,0.013411830426545427,-0.025745729016972436,0.02070113144276829,0.0,-7.138629245722002e-5,-3.538559896141202e-5,-8.923093281607853e-5,-2.5544886103138613e-5,-4.71876804234016e-5,8.360003541108448e-6,-3.2805324711275746e-5,-5.300590408190819e-5,0.0005806923074747799,-0.0826788029095143,-0.09867446677858693,-0.0013236273686533765,-0.000185329411878249,0.04685990800312429,0.0,0.0,0.0
0.03993632902035608,0.03911102508633065,0.04605798381010444,0.0014530999027238816,0.02463784105923249,6.160088943864437e-5,-0.0019335193913341026,-0.0006393741368903572,0.002627688321040075,-0.029580349963947674,0.012837968895096127,-0.025501692041137797,0.019600080891401972,0.0,-7.408806061872294e-5,-3.672484325270151e-5,-9.260806986865988e-5,-2.6511687397715413e-5,-4.897359993532363e-5,8.676405901000638e-6,-3.404691295996936e-5,-5.50120268134676e-5,0.0006026698599426465,-0.07997319364481556,-0.09488717140628825,-0.001373722900431619,-0.00019234360307893058,0.04633599828239675,0.0,0.0,0.0
0.04774373672634656,0.04605798381010444,0.058583753598572944,0.0016589282421537843,0.02354446160270144,5.134327696217156e-5,-0.0016115550039236717,-0.0005329072955270859,0.0021901328124783186,-0.036722511453373026,0.01724116482756082,-0.028530450234155683,0.026150015962537482,0.0,-6.175111837834787e-5,-3.06095222925938e-5,-7.718722608599036e-5,-2.2097033357792557e-5,-4.081864934463912e-5,7.231634401236965e-6,-2.8377513664827446e-5,-4.585157381124387e-5,0.0005023149148943425,-0.0996797515715281,-0.12191166499972715,-0.001144974301327075,-0.00016031506971372157,0.05306348164149201,0.0,0.0,0.0
0.0014512576856566249,0.0014530999027238816,0.0016589282421537843,0.0001546805020835905,0.00307798994571905,2.2795909121136462e-6,-7.155145441967705e-5,-2.366055888442119e-5,9.723973908650013e-5,-0.0014500672901633905,0.000694259138667193,-0.001207107147106918,-3.788839383093669e-5,0.0,-2.7416888168600836e-6,-1.3590326323297783e-6,-3.427036790941966e-6,-9.810865103956838e-7,-1.8123078150884244e-6,3.210774425818993e-7,-1.2599336483018562e-6,-2.0357647028106403e-6,2.2302287324900262e-5,-0.002448836673445336,-0.002913971541726032,-5.083573091432999e-5,-7.117831147854504e-6,0.002513569348519877,0.0,0.0,0.0
0.02376026181226528,0.02463784105923249,0.02354446160270144,0.00307798994571905,0.07769235191984071,9.109779236710701e-5,-0.0028593637146257,-0.000945531353493681,0.003885927739955838,-0.025818046127757104,0.015518017834243862,-0.026298871242700833,-0.007519860875028613,0.0,-0.00010956430701943757,-5.431012726985679e-5,-0.0001369524173643064,-3.9206514968655884e-5,-7.242406528596477e-5,1.2831006669949997e-5,-5.034989974710517e-5,-8.135392592567217e-5,0.0008912516404759381,-0.03815753138523498,-0.04360233082869733,-0.002031514880610686,-0.00028444520486799104,0.0376025888270298,0.0,0.0,0.0
5.935449075556787e-5,6.160088943864437e-5,5.134327696217156e-5,2.2795909121136462e-6,9.109779236710701e-5,1.49680426820419e-6,-2.0340927254509004e-5,-1.4578385743965275e-5,4.989030795255592e-5,-3.807160608600127e-5,-1.295039744878552e-5,-4.152830031557761e-5,-1.4833617235740143e-5,0.0,-9.736550097396923e-7,-9.332533852605953e-7,-1.6878517242541634e-6,-5.465031975693494e-7,-1.156482650885916e-6,-1.6307442578846147e-7,-8.867834433805585e-7,-1.2275400197348167e-6,-2.4186258667494855e-7,-8.091966794316709e-5,-8.648293351076984e-5,-1.1325834494855954e-5,-3.4237759042336794e-6,8.164338479814462e-5,0.0,0.0,0.0
-0.0018630097695741448,-0.0019335193913341026,-0.0016115550039236717,-7.155145441967705e-5,-0.0028593637146257,-2.0340927254509004e-5,0.0013662018302152215,0.00023727791926102468,-0.0012489789888245444,0.001194985807791558,0.00040648511443411295,0.0013034840029264758,0.00046559533198783156,0.0,4.704374018781595e-5,1.1009520326641624e-5,4.5942227353455535e-5,1.1422877858710117e-5,1.7086414181706546e-5,-1.30788083541375e-5,9.617167687048564e-6,2.1147337342828513e-5,-0.0006056421209735245,0.002539894286173691,0.002714513223531976,0.0010560482480026217,9.765572886436678e-5,-0.0025626102012470953,0.0,0.0,0.0
-0.0006160580901223272,-0.0006393741368903572,-0.0005329072955270859,-2.366055888442119e-5,-0.000945531353493681,-1.4578385743965275e-5,0.00023727791926102468,0.00014339618068250691,-0.0005064353558097118,0.00039515663658577224,0.00013441606552534453,0.0004310347044135196,0.00015396256942864028,0.0,1.0698209267272954e-5,9.029460581201836e-6,1.7265870496582245e-5,5.466374258540134e-6,1.1313009732852662e-5,1.0386299736868396e-6,8.549515556158675e-6,1.2116322239425744e-5,-1.9527744768261102e-5,0.0008398895425065042,0.0008976323470827383,0.00014273044979030294,3.5183879017454614e-5,-0.0008474012171547274,0.0,0.0,0.0
0.00253186445164937,0.002627688321040075,0.0021901328124783186,9.723973908650013e-5,0.003885927739955838,4.989030795255592e-5,-0.0012489789888245444,-0.0005064353558097118,0.001962076677964361,-0.001624007633446036,-0.0005524207270236742,-0.001771458670910541,-0.000632752596988978,0.0,-5.016907236393348e-5,-3.0229903273206223e-5,-6.831169474725601e-5,-2.0309399503430664e-5,-3.9264951866993045e-5,2.5783361019210187e-6,-2.828235665770337e-5,-4.3255160989365426e-5,0.0003109880110684477,-0.003451762926385766,-0.0036890732654417378,-0.0008501793775589716,-0.00014090728457509484,0.003482634271668182,0.0,0.0,0.0
-0.030430361539056292,-0.029580349963947674,-0.036722511453373026,-0.0014500672901633905,-0.025818046127757104,-3.807160608600127e-5,0.001194985807791558,0.00039515663658577224,-0.001624007633446036,0.038371005134712685,-0.01636688192198315,0.03748434786922543,-0.018451494958405142,0.0,4.578913527476294e-5,2.2697298344687056e-5,5.723517937084663e-5,1.6385193922992773e-5,3.0267478641004662e-5,-5.362336659670519e-6,2.1042239332394458e-5,3.399944763656271e-5,-0.0003724720489709041,0.06593924488506853,0.08129765779437856,0.0008490110713197307,0.00011887539216259045,-0.036682052638760336,0.0,0.0,0.0
