ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,wage_premium,theta_U,theta_S
507.74244183141764,-231.3156601471032,-2937.903779529249,150.87634349895407,0.0,0.0,56.58642851358954,231.3066601346535,117.74806298346186,105.92107456215828,0.0,129.5206455660431,30.094746728144898
-231.3156601471032,443.102786476193,-1728.0913510173114,86.80489599049066,0.0,0.0,17.69801598261473,20.751472080451926,-24.735141890513184,-53.252472807057444,0.0,98.75719565777194,66.83330193417632
-2937.903779529249,-1728.0913510173114,190223.88651753066,-13284.567417309534,0.0,0.0,531.6062877977051,-68.94692224026755,-1420.2612620024279,-626.271498147403,0.0,-978.0852404901887,-1512.1791865293305
150.87634349895407,86.80489599049066,-13284.567417309534,2387.303428118457,0.0,0.0,169.939184961843,-865.8374419573513,-36.73469057643562,754.9591283736231,0.0,60.04965261434886,115.08632602777497
0.0,0.0,0.0,0.0,149612.77199036189,-20553.07122082632,0.0,0.0,0.0,0.0,2.85813922427665e6,0.0,0.0
0.0,0.0,0.0,0.0,-20553.07122082632,11614.565160518205,0.0,0.0,0.0,0.0,796343.6525517007,0.0,0.0
56.58642851358954,17.69801598261473,531.6062877977051,169.939184961843,0.0,0.0,1191.2434205217655,314.8169853709472,-452.57661130478357,145.05185221184524,0.0,-26.751127800517114,-3.3782220957246976
231.3066601346535,20.751472080451926,-68.94692224026755,-865.8374419573513,0.0,0.0,314.8169853709472,1100.9455277151458,128.32465831190422,-301.2898398298405,0.0,41.49092048687068,115.73068350393363
117.74806298346186,-24.735141890513184,-1420.2612620024279,-36.73469057643562,0.0,0.0,-452.57661130478357,128.32465831190422,357.82292081903705,4.185377182066329,0.0,15.24351995810339,76.54455264154885
105.92107456215828,-53.252472807057444,-626.271498147403,754.9591283736231,0.0,0.0,145.05185221184524,-301.2898398298405,4.185377182066329,557.5786540848358,0.0,41.242767698940526,88.74385132280736
0.0,0.0,0.0,0.0,2.85813922427665e6,796343.6525517007,0.0,0.0,0.0,0.0,2.246033661131662e8,0.0,0.0
129.5206455660431,98.75719565777194,-978.0852404901887,60.04965261434886,0.0,0.0,-26.751127800517114,41.49092048687068,15.24351995810339,41.242767698940526,0.0,255.60109277096836,-58.22831520324101
30.094746728144898,66.83330193417632,-1512.1791865293305,115.08632602777497,0.0,0.0,-3.3782220957246976,115.73068350393363,76.54455264154885,88.74385132280736,0.0,-58.22831520324101,148.21895294246497
