ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,wage_premium,theta_U,theta_S
7453.131653836871,247.65292787310935,-8408.635969905008,1046.0364470667396,-326.1180960409273,536.6164298560603,-760.3692664620662,1777.9086187979597,1160.1733853739315,1314.9770927269963,-3180.219878601787,5399.873475984311,-751.6937707335014
247.65292787310935,1966.1416044765006,-1840.8712783616456,347.90933378985505,-189.27930691291982,172.97766479566985,-772.1103167087451,-330.8148453473334,222.38063323189962,412.4613557595067,-2442.5305593791827,248.89126291615645,1412.172649540535
-8408.635969905008,-1840.8712783616456,20677.402063367615,-1334.8956602664193,897.4476389153656,-1591.4191453316826,2001.9247910007302,-1340.743996821308,-935.7588277178268,-1548.8658288701529,5115.027820693821,-8072.752642540243,527.801607801839
1046.0364470667396,347.90933378985505,-1334.8956602664193,861.3859002527399,-52.932135155708366,124.39011818339482,446.7561905865825,265.47107859207006,257.1736191215067,519.5202246409027,-1130.3706722533198,821.031853605888,9.27320609462221
-326.1180960409273,-189.27930691291982,897.4476389153656,-52.932135155708366,533.8676973556902,-484.24902238273467,225.16801159718173,-25.502020814324972,-78.20391811074057,-128.80561276720454,711.6831994769004,-367.3570333614068,-39.621506828289135
536.6164298560603,172.97766479566985,-1591.4191453316826,124.39011818339482,-484.24902238273467,974.3209669527333,-227.16982062033992,-73.58221745228559,36.35252672222697,155.45157651776947,-677.5985026556444,626.2917440662061,-62.81616447762049
-760.3692664620662,-772.1103167087451,2001.9247910007302,446.7561905865825,225.16801159718173,-227.16982062033992,2066.5034454270376,432.8575491861154,-653.4602545686788,-257.37192141862135,1944.2457171518104,-5.336238267712675,-1122.3022641799384
1777.9086187979597,-330.8148453473334,-1340.743996821308,265.47107859207006,-25.502020814324972,-73.58221745228559,432.8575491861154,1213.936652353323,262.20077638861824,165.1465397796623,-239.1390100474374,1246.8887324562243,-495.6792224612549
1160.1733853739315,222.38063323189962,-935.7588277178268,257.1736191215067,-78.20391811074057,36.35252672222697,-653.4602545686788,262.20077638861824,739.5629292274604,463.13914766569343,-1640.0035789967312,126.58213059172238,591.2270834604255
1314.9770927269963,412.4613557595067,-1548.8658288701529,519.5202246409027,-128.80561276720454,155.45157651776947,-257.37192141862135,165.1465397796623,463.13914766569343,603.0830221250611,-1605.616599851743,706.9957492388215,345.6974268106684
-3180.219878601787,-2442.5305593791827,5115.027820693821,-1130.3706722533198,711.6831994769004,-677.5985026556444,1944.2457171518104,-239.1390100474374,-1640.0035789967312,-1605.616599851743,11853.89107491979,-1281.9836759350826,-2399.749086228581
5399.873475984311,248.89126291615645,-8072.752642540243,821.031853605888,-367.3570333614068,626.2917440662061,-5.336238267712675,1246.8887324562243,126.58213059172238,706.9957492388215,-1281.9836759350826,5367.823257213607,-1565.184924655773
-751.6937707335014,1412.172649540535,527.801607801839,9.27320609462221,-39.621506828289135,-62.81616447762049,-1122.3022641799384,-495.6792224612549,591.2270834604255,345.6974268106684,-2399.749086228581,-1565.184924655773,2005.899855806972
