moment,scale
ur_total,0.0756640702456139
ur_U,0.0944795201824589
ur_S,0.046989680824468125
exp_ur_total,1.0794100440245735
exp_ur_U,1.100383956770852
exp_ur_S,1.0484392140698686
skilled_share,0.39480817195802964
training_share,0.03889754801844489
emp_var_U,0.2840782118851032
emp_cm3_U,0.3072297594760858
emp_var_S,0.4301147134418277
emp_cm3_S,0.36949826780334283
jfr_U,0.2612770356222891
sep_rate_U,0.02547097182898591
jfr_S,0.26702838126265377
sep_rate_S,0.012721403635816126
ee_rate_S,0.008499770525599424
mean_wage_U,0.9162777035167782
mean_wage_S,1.2960636275524777
p25_wage_U,0.547801593196908
p25_wage_S,0.8451844491715181
p50_wage_U,0.812322633326194
p50_wage_S,1.1499726242223773
wage_premium,0.36897743220213186
theta_U,1.4992868490221694
theta_S,2.5924540603937984
