ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,wage_premium,theta_U,theta_S
2624.9224864664793,-4235.947480721187,-1758.0308934546674,-509.1657717234849,-267.8648921588985,448.66694111827974,-501.66310024786856,-151.11635798656567,482.66692068594466,-60.5632345442156,-365.30285286860715,2067.529939848773,-3262.0292482516124
-4235.947480721187,12085.61274231402,9086.312146121832,-106.70019408506533,3110.01023278533,-4683.786555731861,1822.3900896084365,1957.2289751018252,-1222.1482410932053,118.19067787761304,1879.010109130355,-4573.35464615888,10037.047220715876
-1758.0308934546674,9086.312146121832,48703.44081938311,-5727.819835564533,7998.1937994357395,-12769.251255163841,-3631.02545892644,2489.2644138311416,-1137.6896650935687,501.7093399776621,-1496.9451808881938,-6049.133690199407,7277.232257496238
-509.1657717234849,-106.70019408506533,-5727.819835564533,1939.2831985658265,-1786.8167632058864,2826.6504431637222,808.5448264522234,-722.9036337766795,135.4882622613645,248.70052921009668,-214.6133620774579,264.7282147879133,-366.5323101310089
-267.8648921588985,3110.01023278533,7998.1937994357395,-1786.8167632058864,7346.870783208541,-8012.580192609081,-497.01759046943795,1048.4457067926735,-232.474528258978,-196.83422260582955,6404.9818669835695,-1375.6977394830396,3167.566908481377
448.66694111827974,-4683.786555731861,-12769.251255163841,2826.6504431637222,-8012.580192609081,10924.085836725546,1036.1475891592518,-1534.6117087962343,374.16107877450656,271.64392566353285,-4731.897185167794,2083.608604065116,-4665.42899514021
-501.66310024786856,1822.3900896084365,-3631.02545892644,808.5448264522234,-497.01759046943795,1036.1475891592518,1916.7499511651504,674.1093941876708,-266.10233669249203,8.57167247006749,556.7800233356968,-235.3213778758442,1521.9744675614725
-151.11635798656567,1957.2289751018252,2489.2644138311416,-722.9036337766795,1048.4457067926735,-1534.6117087962343,674.1093941876708,1189.1162070386501,-289.3759617759946,-98.9070079339408,844.5864455326152,-432.9963683136035,1665.816454651103
482.66692068594466,-1222.1482410932053,-1137.6896650935687,135.4882622613645,-232.474528258978,374.16107877450656,-266.10233669249203,-289.3759617759946,272.8325959206162,8.109457458303574,-146.45073840054934,434.4153935820546,-863.8809248613835
-60.5632345442156,118.19067787761304,501.7093399776621,248.70052921009668,-196.83422260582955,271.64392566353285,8.57167247006749,-98.9070079339408,8.109457458303574,133.52957576310192,-52.41335053150341,-52.717960006237575,-1.4590662815223148
-365.30285286860715,1879.010109130355,-1496.9451808881938,-214.6133620774579,6404.9818669835695,-4731.897185167794,556.7800233356968,844.5864455326152,-146.45073840054934,-52.41335053150341,12960.85575784741,-159.79850301586424,1633.5969291281572
2067.529939848773,-4573.35464615888,-6049.133690199407,264.7282147879133,-1375.6977394830396,2083.608604065116,-235.3213778758442,-432.9963683136035,434.4153935820546,-52.717960006237575,-159.79850301586424,2424.8985732593023,-3992.8178431749634
-3262.0292482516124,10037.047220715876,7277.232257496238,-366.5323101310089,3167.566908481377,-4665.42899514021,1521.9744675614725,1665.816454651103,-863.8809248613835,-1.4590662815223148,1633.5969291281572,-3992.8178431749634,8988.783135482696
