moment,value
ur_total,0.05289460252266364
ur_U,0.06394194715947513
ur_S,0.026013316626321868
exp_ur_total,1.0543392579884783
exp_ur_U,1.0660563057301553
exp_ur_S,1.026365869321551
skilled_share,0.29153426164954194
training_share,0.03344103071874698
emp_var_U,0.25425598448644693
emp_cm3_U,0.17086159371875748
emp_var_S,0.39337479533574654
emp_cm3_S,0.2337320861905307
jfr_U,0.2610491741886297
sep_rate_U,0.015135479632550991
jfr_S,0.2741190853760237
sep_rate_S,0.006221618803323924
ee_rate_S,0.007969232370204854
mean_wage_U,0.9265069855371854
mean_wage_S,1.3239390261646053
p25_wage_U,0.5651904668013736
p25_wage_S,0.8800018671001878
p50_wage_U,0.8243802561920492
p50_wage_S,1.2041503827433928
wage_premium,0.384625409863518
theta_U,0.9244357467777822
theta_S,1.7019721612484422
