window,nu,mean_rem_months,n_obs,nu_lower_bound,delta_lf_nilf,gamma_nilf_lf,lfpr,method
base_fc,0.0032303158120597433,309.56725539549365,4568290,0.0032036714214748324,0.038411847959018655,0.10932740204987956,0.7564047767225154,life_table
base_covid,0.0033567746912615453,297.90501060533774,3908094,0.004588904625889782,0.039677473189062264,0.0974797117578831,0.7353170118960997,life_table
