ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,wage_premium,theta_U,theta_S
666.6438249000909,-467.3810217192247,701.5790206364634,93.02539769309975,0.0,0.0,-725.342888809824,-1.6969995289031978,505.35598858103054,-21.224773743997055,0.0,120.40346876113378,-26.313019944742024
-467.3810217192247,620.7855266454375,511.3261807827338,-171.97143878925687,0.0,0.0,-108.51266935176675,17.25009920166424,-396.2355018865059,-4.9978674683293445,0.0,156.93914972432717,-38.69767914994014
701.5790206364634,511.3261807827338,36437.66004914697,-2185.8137165907956,0.0,0.0,-4557.975210174716,85.3148256991523,119.3674484042935,-105.65717127460906,0.0,1303.4544944931117,-349.51907662319013
93.02539769309975,-171.97143878925687,-2185.8137165907956,959.4010230734528,0.0,0.0,287.5447085274642,-45.466976987043424,343.67029867018715,30.7894682128591,0.0,88.74512912109624,-141.1917857318419
0.0,0.0,0.0,0.0,1.068081457955964e7,1.7485153343218528e6,0.0,0.0,0.0,0.0,-3.69983023139844e6,0.0,0.0
0.0,0.0,0.0,0.0,1.7485153343218528e6,1.1502767108312396e6,0.0,0.0,0.0,0.0,1.2141735625292163e6,0.0,0.0
-725.342888809824,-108.51266935176675,-4557.975210174716,287.5447085274642,0.0,0.0,2402.355392864874,-10.551658307400405,-615.9538578979395,49.31660353241868,0.0,-548.4508079492978,51.203147337229694
-1.6969995289031978,17.25009920166424,85.3148256991523,-45.466976987043424,0.0,0.0,-10.551658307400405,25.84937944483205,-13.953436646040233,-26.511312904492648,0.0,-1.4727413798379914,8.003372387157937
505.35598858103054,-396.2355018865059,119.3674484042935,343.67029867018715,0.0,0.0,-615.9538578979395,-13.953436646040233,743.0087265188963,-15.929778130036077,0.0,-8.111977336113558,58.04895069855469
-21.224773743997055,-4.9978674683293445,-105.65717127460906,30.7894682128591,0.0,0.0,49.31660353241868,-26.511312904492648,-15.929778130036077,28.97403920137417,0.0,-1.439558226438636,-9.890684371236901
0.0,0.0,0.0,0.0,-3.69983023139844e6,1.2141735625292163e6,0.0,0.0,0.0,0.0,5.150234805768904e6,0.0,0.0
120.40346876113378,156.93914972432717,1303.4544944931117,88.74512912109624,0.0,0.0,-548.4508079492978,-1.4727413798379914,-8.111977336113558,-1.439558226438636,0.0,589.3077550099865,-381.4203504753425
-26.313019944742024,-38.69767914994014,-349.51907662319013,-141.1917857318419,0.0,0.0,51.203147337229694,8.003372387157937,58.04895069855469,-9.890684371236901,0.0,-381.4203504753425,313.60010932325713
