moment,value
ur_total,0.08309096580744973
ur_U,0.10266838429816544
ur_S,0.04172028583110952
skilled_share,0.32073397108125284
training_share,0.04734747632682126
emp_var_U,0.2913333354290637
emp_cm3_U,-0.027958968801765988
emp_var_S,0.2506259487477725
emp_cm3_S,-0.05420854623292615
jfr_U,0.21065507840711103
sep_rate_U,0.020563169546990397
jfr_S,0.23746587701615032
sep_rate_S,0.008171147810899174
ee_rate_S,0.006168715368596169
mean_wage_U,6.411474451695269
mean_wage_S,6.793046469967109
p25_wage_U,6.062313423048806
p25_wage_S,6.494907110668843
p50_wage_U,6.441220453382537
p50_wage_S,6.8075579096123535
wage_premium,0.38157201827184145
theta_U,0.21365222830172337
theta_S,0.6460904752323855
