moment,value
ur_total,0.060924502960117186
ur_U,0.07657281773726995
ur_S,0.03705112296992217
exp_ur_total,1.0634969336759947
exp_ur_U,1.0806490633419954
exp_ur_S,1.0380281585201763
skilled_share,0.395084179951875
training_share,0.03860490242566714
emp_var_U,0.2840782118851032
emp_cm3_U,0.3072297594760858
emp_var_S,0.4301147134418277
emp_cm3_S,0.36949826780334283
jfr_U,0.2697381081995223
sep_rate_U,0.020932725612628402
jfr_S,0.2735970937819659
sep_rate_S,0.010329498579239947
ee_rate_S,0.009150666470462143
mean_wage_U,0.9162777035167782
mean_wage_S,1.2960636275524777
p25_wage_U,0.547801593196908
p25_wage_S,0.8451844491715181
p50_wage_U,0.812322633326194
p50_wage_S,1.1499726242223773
wage_premium,0.36897743220213186
theta_U,2.0785008286197577
theta_S,3.663685592665478
