moment,scale
ur_total,0.04515973781363132
ur_U,0.056565905099662785
ur_S,0.024671708929366962
exp_ur_total,1.0462219019975363
exp_ur_U,1.0582417961749069
exp_ur_S,1.0249844962694896
skilled_share,0.3596481700627638
training_share,0.04497778063418934
emp_var_U,0.2859685479618478
emp_cm3_U,0.2624027185136486
emp_var_S,0.4498333703120757
emp_cm3_S,0.3513892592182986
jfr_U,0.2565001428660103
sep_rate_U,0.013190669532237166
jfr_S,0.2716621670181845
sep_rate_S,0.005901935652047667
ee_rate_S,0.00850826375468986
mean_wage_U,0.9166142247666755
mean_wage_S,1.3144157265382106
p25_wage_U,0.5482419447195287
p25_wage_S,0.8411166321788016
p50_wage_U,0.7920053904379258
p50_wage_S,1.1593839090815297
wage_premium,0.38505196209366843
theta_U,1.5848750608373061
theta_S,2.894254260589593
